COSTO POR COBRO MP EN 3 CUOTAS ,30%,,,,,,,
COSTO POR OFRECER 6 CUOTAS ,50%,,,,,,,
COSTOS FIJOS (S/A/C/G),"$40,000.00",,,,,,,
GANANCIA 50% mas 10% iibb+manotributo total60%,1.6,,,,,,,
DOLAR,"$1,500.00",,,,,,,
,,,,,,,,
REPARACION,TIPO DE REPARACION,PRECIO DEL REPUESTO EN USD ,PRECIO DEL REPUESTO EN PESOS ,PRECIO CON 60% de ganancia ,PRECIO DE LA REPARACION CON COSTOS FIJOS,PRECIO DE LA REPARACION EN EFECTIVO O TRANSFERENCIA ,PRECIO DE LA CUOTA EN  3 PARTES,PRECIO DE LA REPARACION EN 6 CUOTAS 
Cambio de Modulo iphone 12/12PRO original,CAMBIO DE PANTALLA,$70.00,"$105,000.00","$168,000.00","$208,000.00","$210,000.00","$273,000.00","$315,000.00"
Cambio de Modulo iphone 12 pro max incell,CAMBIO DE PANTALLA,$43.00,"$64,500.00","$103,200.00","$143,200.00","$143,500.00","$186,550.00","$215,250.00"
Cambio de Modulo iphone 12 pro max original,CAMBIO DE PANTALLA,$110.00,"$165,000.00","$264,000.00","$304,000.00","$305,000.00","$396,500.00","$457,500.00"
Cambio de Modulo iphone 13 mini incell,CAMBIO DE PANTALLA,$45.00,"$67,500.00","$108,000.00","$148,000.00","$148,000.00","$192,400.00","$222,000.00"
Cambio de Modulo iphone 13 mini original ,CAMBIO DE PANTALLA,$70.00,"$105,000.00","$168,000.00","$208,000.00","$208,000.00","$270,400.00","$312,000.00"
Cambio de Modulo iphone 13 incell,CAMBIO DE PANTALLA,$35.00,"$52,500.00","$84,000.00","$124,000.00","$124,000.00","$161,200.00","$186,000.00"
Cambio de Modulo iphone 13 soft oled ,CAMBIO DE PANTALLA,$68.00,"$102,000.00","$163,200.00","$203,200.00","$205,000.00","$266,500.00","$307,500.00"
Cambio de Modulo iphone 13 original ,CAMBIO DE PANTALLA,$70.00,"$105,000.00","$168,000.00","$208,000.00","$220,000.00","$286,000.00","$330,000.00"
Cambio de Modulo iphone 13 pro original,CAMBIO DE PANTALLA,$120.00,"$180,000.00","$288,000.00","$328,000.00","$328,000.00","$426,400.00","$492,000.00"
Cambio de Modulo iphone 13 pro soft oled,CAMBIO DE PANTALLA,$90.00,"$135,000.00","$216,000.00","$256,000.00","$256,000.00","$332,800.00","$384,000.00"
