COSTO POR COBRO MP EN 3 CUOTAS ,30%,,,,,,,
COSTO POR OFRECER 6 CUOTAS ,50%,,,,,,,
COSTOS FIJOS (S/A/C/G),"$40,000.00",,,,,,,
GANANCIA 50% mas 10% iibb+manotributo total60%,1.6,,,,,,,
DOLAR,"$1,500.00",,,,,,,
,,,,,,,,
REPARACION,TIPO DE REPARACION,PRECIO DEL REPUESTO EN USD ,PRECIO DEL REPUESTO EN PESOS ,PRECIO CON 60% de ganancia ,PRECIO DE LA REPARACION CON COSTOS FIJOS,PRECIO DE LA REPARACION EN EFECTIVO O TRANSFERENCIA ,PRECIO DE LA CUOTA EN  3 PARTES,PRECIO DE LA REPARACION EN 6 CUOTAS 
Cambio de vidrio trasero iphone 14,CAMBIO DE VIDRIO TRASERO,$15.00,"$22,500.00","$36,000.00","$76,000.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de vidrio trasero iphone 14 plus,CAMBIO DE VIDRIO TRASERO,$15.00,"$22,500.00","$36,000.00","$76,000.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de vidrio trasero iphone 14 pro,CAMBIO DE VIDRIO TRASERO,$12.00,"$18,000.00","$28,800.00","$68,800.00","$89,500.00","$116,350.00","$134,250.00"
Cambio de vidrio trasero iphone 14 pro max,CAMBIO DE VIDRIO TRASERO,$12.00,"$18,000.00","$28,800.00","$68,800.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de vidrio trasero iphone 15,CAMBIO DE VIDRIO TRASERO,$20.00,"$30,000.00","$48,000.00","$88,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de vidrio trasero iphone 15 plus,CAMBIO DE VIDRIO TRASERO,$22.00,"$33,000.00","$52,800.00","$92,800.00","$130,000.00","$169,000.00","$195,000.00"
Cambio de vidrio trasero iphone 15 pro,CAMBIO DE VIDRIO TRASERO,$29.00,"$43,500.00","$69,600.00","$109,600.00","$150,000.00","$195,000.00","$225,000.00"
Cambio de vidrio trasero iphone 15 pro max,CAMBIO DE VIDRIO TRASERO,$30.00,"$45,000.00","$72,000.00","$112,000.00","$150,000.00","$195,000.00","$225,000.00"
Cambio de vidrio trasero iphone 16,CAMBIO DE VIDRIO TRASERO,$38.00,"$57,000.00","$91,200.00","$131,200.00","$165,000.00","$214,500.00","$247,500.00"
Cambio de vidrio trasero iphone 16 plus,CAMBIO DE VIDRIO TRASERO,$38.00,"$57,000.00","$91,200.00","$131,200.00","$165,000.00","$214,500.00","$247,500.00"
Cambio de vidrio trasero iphone 16 pro,CAMBIO DE VIDRIO TRASERO,$45.00,"$67,500.00","$108,000.00","$148,000.00","$165,000.00","$214,500.00","$247,500.00"
Cambio de vidrio trasero iphone 16 pro max,CAMBIO DE VIDRIO TRASERO,$45.00,"$67,500.00","$108,000.00","$148,000.00","$165,000.00","$214,500.00","$247,500.00"
Reparacion de placa/huella iphone 6/6s,REPARACION DE PLACA,$30.00,"$45,000.00",,"$40,000.00","$85,000.00","$110,500.00","$127,500.00"
Reparacion de placa /huella iphone 6 plus/ 6s plus,REPARACION DE PLACA,$30.00,"$45,000.00",,"$40,000.00","$85,000.00","$110,500.00","$127,500.00"
Reparacion de placa/huella iphone  7/7 plus,REPARACION DE PLACA,$30.00,"$45,000.00",,"$40,000.00","$85,000.00","$110,500.00","$127,500.00"
Reparacion de placa/huella iphone 8/8plus,REPARACION DE PLACA,$30.00,"$45,000.00",,"$40,000.00","$85,000.00","$110,500.00","$127,500.00"
Reparacion de placa/huella iphone SE 2/3,REPARACION DE PLACA,$30.00,"$45,000.00",,"$40,000.00","$85,000.00","$110,500.00","$127,500.00"
Reparacion de placa/face id iphone X/XS/XR,REPARACION DE PLACA,$45.00,"$67,500.00",,"$40,000.00","$107,500.00","$139,750.00","$161,250.00"
Reparacion de placa/face id iphone Xs max,REPARACION DE PLACA,$45.00,"$67,500.00",,"$40,000.00","$107,500.00","$139,750.00","$161,250.00"
Reparacion de placa/face id iphone 11,REPARACION DE PLACA,$50.00,"$75,000.00",,"$40,000.00","$115,000.00","$149,500.00","$172,500.00"
Reparacion de placa/face id iphone 11 pro,REPARACION DE PLACA,$50.00,"$75,000.00",,"$40,000.00","$115,000.00","$149,500.00","$172,500.00"
Reparacion de placa/face id iphone 11 pro max,REPARACION DE PLACA,$50.00,"$75,000.00",,"$40,000.00","$115,000.00","$149,500.00","$172,500.00"
Reparacion de placa iphone/face id 12 mini/ 12,REPARACION DE PLACA,$70.00,"$105,000.00",,"$40,000.00","$145,000.00","$188,500.00","$217,500.00"
Reparacion de placa/face id iphone 12 pro/12 pro max,REPARACION DE PLACA,$70.00,"$105,000.00",,"$40,000.00","$145,000.00","$188,500.00","$217,500.00"
Reparacion de placa/face id iphone 13 mini/13,REPARACION DE PLACA,$90.00,"$135,000.00",,"$40,000.00","$175,000.00","$227,500.00","$262,500.00"
Reparacion de placa/face id iphone 13 pro,REPARACION DE PLACA,$90.00,"$135,000.00",,"$40,000.00","$175,000.00","$227,500.00","$262,500.00"
Reparacion de placa/face id iphone 13 pro max,REPARACION DE PLACA,$90.00,"$135,000.00",,"$40,000.00","$175,000.00","$227,500.00","$262,500.00"
Reparacion de placa/face id iphone 14/ 14 plus,REPARACION DE PLACA,$130.00,"$195,000.00",,"$40,000.00","$235,000.00","$305,500.00","$352,500.00"
Reparacion de placa/face id iphone 14 pro,REPARACION DE PLACA,$130.00,"$195,000.00",,"$40,000.00","$235,000.00","$305,500.00","$352,500.00"
Reparacion de placa/face id iphone 14 pro max,REPARACION DE PLACA,$130.00,"$195,000.00",,"$40,000.00","$235,000.00","$305,500.00","$352,500.00"
Reparacion de placa/face id iphone 15/15 plus,REPARACION DE PLACA,$180.00,"$270,000.00",,"$40,000.00","$310,000.00","$403,000.00","$465,000.00"
Reparacion de placa/face id iphone 15 pro,REPARACION DE PLACA,$180.00,"$270,000.00",,"$40,000.00","$310,000.00","$403,000.00","$465,000.00"
Reparacion de placa/face id iphone 15 pro max,REPARACION DE PLACA,$180.00,"$270,000.00",,"$40,000.00","$310,000.00","$403,000.00","$465,000.00"
Reparacion de placa/face idiphone 16/ 16 plus,REPARACION DE PLACA,$215.00,"$322,500.00",,"$40,000.00","$362,500.00","$471,250.00","$543,750.00"
Reparacion de placa/face id iphone 16 pro,REPARACION DE PLACA,$250.00,"$375,000.00",,"$40,000.00","$415,000.00","$539,500.00","$622,500.00"
Reparacion de placa/face id iphone 16 pro max,REPARACION DE PLACA,$250.00,"$375,000.00",,"$40,000.00","$415,000.00","$539,500.00","$622,500.00"
Reparacion de placa Ipad 1/2/3/4,REPARACION DE PLACA,,$0.00,$0.00,,"$150,000.00","$195,000.00","$225,000.00"
Reparacion de placa  Ipad 5/6/ AIR 1/AIR 2,REPARACION DE PLACA,,$0.00,$0.00,,"$180,000.00","$234,000.00","$270,000.00"
Reparacion de placa Ipad 7/8/9,REPARACION DE PLACA,,$0.00,$0.00,,"$200,000.00","$260,000.00","$300,000.00"
Reparacion de placa Ipad 10,REPARACION DE PLACA,,$0.00,$0.00,,"$200,000.00","$260,000.00","$300,000.00"
Reparacion de placa Ipad mini 1/2/3/4,REPARACION DE PLACA,,$0.00,$0.00,,"$150,000.00","$195,000.00","$225,000.00"
Reparacion de placa Ipad Pro 1/2,REPARACION DE PLACA,,$0.00,$0.00,,"$180,000.00","$234,000.00","$270,000.00"
Reparacion de placa Ipad Air 5ta Generacion,REPARACION DE PLACA,,$0.00,$0.00,,"$280,000.00","$364,000.00","$420,000.00"
Cambio de Flex de carga iphone 6,CAMBIO DE FLEX DE CARGA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$52,000.00","$67,600.00","$78,000.00"
Cambio de Flex de carga iphone 6s,CAMBIO DE FLEX DE CARGA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$52,000.00","$67,600.00","$78,000.00"
Cambio de flex de carga iphone 6 plus,CAMBIO DE FLEX DE CARGA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$52,000.00","$67,600.00","$78,000.00"
Cambio de flex de carga iphone 6s plus,CAMBIO DE FLEX DE CARGA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$52,000.00","$67,600.00","$78,000.00"
Cambio de flex de carga iphone 7,CAMBIO DE FLEX DE CARGA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$52,000.00","$67,600.00","$78,000.00"
Cambio de flex de carga iphone 7 plus,CAMBIO DE FLEX DE CARGA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$52,000.00","$67,600.00","$78,000.00"
Cambio de flex de carga iphone 8,CAMBIO DE FLEX DE CARGA ,$16.00,"$24,000.00","$38,400.00","$78,400.00","$78,500.00","$102,050.00","$117,750.00"
cambio de flex de carga iphone 8 plus,CAMBIO DE FLEX DE CARGA ,$15.00,"$22,500.00","$36,000.00","$76,000.00","$78,500.00","$102,050.00","$117,750.00"
Cambio de flex de carga SE 2/3,CAMBIO DE FLEX DE CARGA ,$16.00,"$24,000.00","$38,400.00","$78,400.00","$78,500.00","$102,050.00","$117,750.00"
Cambio de Flex de carga iphone x,CAMBIO DE FLEX DE CARGA ,$15.00,"$22,500.00","$36,000.00","$76,000.00","$78,500.00","$102,050.00","$117,750.00"
Cambio de Flex de carga iphone xs,CAMBIO DE FLEX DE CARGA ,$18.00,"$27,000.00","$43,200.00","$83,200.00","$83,500.00","$108,550.00","$125,250.00"
Cambio de flex de carga xs max,CAMBIO DE FLEX DE CARGA ,$18.00,"$27,000.00","$43,200.00","$83,200.00","$83,500.00","$108,550.00","$125,250.00"
Cambio de Flex de carga iphone XR,CAMBIO DE FLEX DE CARGA ,$15.00,"$22,500.00","$36,000.00","$76,000.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de Flex de carga iphone 11,CAMBIO DE FLEX DE CARGA ,$18.00,"$27,000.00","$43,200.00","$83,200.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de flex de carga iphone 11 pro,CAMBIO DE FLEX DE CARGA ,$38.00,"$57,000.00","$91,200.00","$131,200.00","$131,500.00","$170,950.00","$197,250.00"
Cambio de flex de carga iphone 11 pro max,CAMBIO DE FLEX DE CARGA ,$45.00,"$67,500.00","$108,000.00","$148,000.00","$148,000.00","$192,400.00","$222,000.00"
Cambio de Flex de carga iphone 12 mini,CAMBIO DE FLEX DE CARGA ,$19.00,"$28,500.00","$45,600.00","$85,600.00","$85,600.00","$111,280.00","$128,400.00"
Cambio de flex de carga iphone 12,CAMBIO DE FLEX DE CARGA ,$22.00,"$33,000.00","$52,800.00","$92,800.00","$92,800.00","$120,640.00","$139,200.00"
Cambio de flex de carga iphone 12 pro,CAMBIO DE FLEX DE CARGA ,$22.00,"$33,000.00","$52,800.00","$92,800.00","$92,800.00","$120,640.00","$139,200.00"
Cambio de flex de carga iphone 12 pro max,CAMBIO DE FLEX DE CARGA ,$28.00,"$42,000.00","$67,200.00","$107,200.00","$110,000.00","$143,000.00","$165,000.00"
Cambio de flex de carga iphone 13 mini,CAMBIO DE FLEX DE CARGA ,$28.00,"$42,000.00","$67,200.00","$107,200.00","$110,000.00","$143,000.00","$165,000.00"
Cambio de flex de carga iphone 13,CAMBIO DE FLEX DE CARGA ,$25.00,"$37,500.00","$60,000.00","$100,000.00","$110,000.00","$143,000.00","$165,000.00"
Cambio de Flex de carga iphone 13 pro,CAMBIO DE FLEX DE CARGA ,$29.00,"$43,500.00","$69,600.00","$109,600.00","$115,000.00","$149,500.00","$172,500.00"
Cambio de Flex de carga iphone 13 pro max,CAMBIO DE FLEX DE CARGA ,$29.00,"$43,500.00","$69,600.00","$109,600.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de Flex de carga iphone 14 plus,CAMBIO DE FLEX DE CARGA ,$25.00,"$37,500.00","$60,000.00","$100,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de Flex de carga iphone 14,CAMBIO DE FLEX DE CARGA ,$25.00,"$37,500.00","$60,000.00","$100,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de Flex de carga iphone 14 pro,CAMBIO DE FLEX DE CARGA ,$35.00,"$52,500.00","$84,000.00","$124,000.00","$125,000.00","$162,500.00","$187,500.00"
Cambio de Flex de carga iphone 14 pro max,CAMBIO DE FLEX DE CARGA ,$38.00,"$57,000.00","$91,200.00","$131,200.00","$135,000.00","$175,500.00","$202,500.00"
Cambio de Flex de carga 15 plus,CAMBIO DE FLEX DE CARGA ,$38.00,"$57,000.00","$91,200.00","$131,200.00","$150,000.00","$195,000.00","$225,000.00"
Cambio de Flex de carga iphone 15,CAMBIO DE FLEX DE CARGA ,$38.00,"$57,000.00","$91,200.00","$131,200.00","$150,000.00","$195,000.00","$225,000.00"
Cambio de flex de carga iphone 15 pro,CAMBIO DE FLEX DE CARGA ,$39.00,"$58,500.00","$93,600.00","$133,600.00","$155,000.00","$201,500.00","$232,500.00"
Cambio de Flex de carga iphone 15 pro max,CAMBIO DE FLEX DE CARGA ,$45.00,"$67,500.00","$108,000.00","$148,000.00","$155,000.00","$201,500.00","$232,500.00"
Cambio de Flex de carga iphone 16,CAMBIO DE FLEX DE CARGA ,$0.00,$0.00,$0.00,,"$200,000.00","$260,000.00","$300,000.00"
Cambio de Flex de carga iphone 16 plus,CAMBIO DE FLEX DE CARGA ,$0.00,$0.00,$0.00,,"$200,000.00","$260,000.00","$300,000.00"
Cambio de Flex de carga iphone 16 pro,CAMBIO DE FLEX DE CARGA ,$0.00,$0.00,$0.00,,"$200,000.00","$260,000.00","$300,000.00"
Cambio de Flex de carga iphone 16 pro max,CAMBIO DE FLEX DE CARGA ,$0.00,$0.00,$0.00,,"$200,000.00","$260,000.00","$300,000.00"
Cambio de Parlante iphone x,CAMBIO DE PARLANTE,$18.00,"$27,000.00","$43,200.00","$83,200.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de Parlante iphone xs,CAMBIO DE PARLANTE,$20.00,"$30,000.00","$48,000.00","$88,000.00","$88,000.00","$114,400.00","$132,000.00"
Cambio de Parlante iphone xs max,CAMBIO DE PARLANTE,$15.00,"$22,500.00","$36,000.00","$76,000.00","$88,000.00","$114,400.00","$132,000.00"
Cambio de Parlante iphone XR,CAMBIO DE PARLANTE,$15.00,"$22,500.00","$36,000.00","$76,000.00","$88,000.00","$114,400.00","$132,000.00"
Cambio de Parlante iphone 11,CAMBIO DE PARLANTE,$15.00,"$22,500.00","$36,000.00","$76,000.00","$88,000.00","$114,400.00","$132,000.00"
Cambio de Parlante iphone 11 pro,CAMBIO DE PARLANTE,$25.00,"$37,500.00","$60,000.00","$100,000.00","$110,000.00","$143,000.00","$165,000.00"
Cambio de Parlante 11 pro max,CAMBIO DE PARLANTE,$25.00,"$37,500.00","$60,000.00","$100,000.00","$110,000.00","$143,000.00","$165,000.00"
Cambio de Parlante 12 mini,CAMBIO DE PARLANTE,$15.00,"$22,500.00","$36,000.00","$76,000.00","$88,000.00","$114,400.00","$132,000.00"
Cambio de Parlante iphone 12/12 pro,CAMBIO DE PARLANTE,$25.00,"$37,500.00","$60,000.00","$100,000.00","$110,000.00","$143,000.00","$165,000.00"
Cambio de Parlante iphone 12 pro max,CAMBIO DE PARLANTE,$25.00,"$37,500.00","$60,000.00","$100,000.00","$110,000.00","$143,000.00","$165,000.00"
Cambio de Parlante iphone 13 mini,CAMBIO DE PARLANTE,$28.00,"$42,000.00","$67,200.00","$107,200.00","$110,000.00","$143,000.00","$165,000.00"
Cambio de Parlante iphone 13,CAMBIO DE PARLANTE,$20.00,"$30,000.00","$48,000.00","$88,000.00","$110,000.00","$143,000.00","$165,000.00"
Cambio de Parlante iphone 13 pro,CAMBIO DE PARLANTE,$25.00,"$37,500.00","$60,000.00","$100,000.00","$115,000.00","$149,500.00","$172,500.00"
Cambio de Parlante iphone 13 pro max,CAMBIO DE PARLANTE,$28.00,"$42,000.00","$67,200.00","$107,200.00","$115,000.00","$149,500.00","$172,500.00"
Cambio de Parlante iphone 14 plus,CAMBIO DE PARLANTE,$20.00,"$30,000.00","$48,000.00","$88,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Parlante iphone 14,CAMBIO DE PARLANTE,$20.00,"$30,000.00","$48,000.00","$88,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Parlante iphone 14 pro,CAMBIO DE PARLANTE,$20.00,"$30,000.00","$48,000.00","$88,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Parlante iphone 14 pro max,CAMBIO DE PARLANTE,$20.00,"$30,000.00","$48,000.00","$88,000.00","$110,000.00","$143,000.00","$165,000.00"
Cambio de Parlante iphone 15 plus,CAMBIO DE PARLANTE,$35.00,"$52,500.00","$84,000.00","$124,000.00","$124,000.00","$161,200.00","$186,000.00"
Cambio de Parlante iphone 15,CAMBIO DE PARLANTE,$25.00,"$37,500.00","$60,000.00","$100,000.00","$110,000.00","$143,000.00","$165,000.00"
Cambio de Parlante iphone 15 pro,CAMBIO DE PARLANTE,$25.00,"$37,500.00","$60,000.00","$100,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de Parlante iphone 15 pro max,CAMBIO DE PARLANTE,$25.00,"$37,500.00","$60,000.00","$100,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de Parlante iphone 16,CAMBIO DE PARLANTE,$39.00,"$58,500.00","$93,600.00","$133,600.00","$135,000.00","$175,500.00","$202,500.00"
Cambio de Parlante iphone 16 plus,CAMBIO DE PARLANTE,$45.00,"$67,500.00","$108,000.00","$148,000.00","$148,000.00","$192,400.00","$222,000.00"
Cambio de Parlante iphone 16 pro,CAMBIO DE PARLANTE,$28.00,"$42,000.00","$67,200.00","$107,200.00","$148,000.00","$192,400.00","$222,000.00"
Cambio de Parlante iphone 16 pro max,CAMBIO DE PARLANTE,$28.00,"$42,000.00","$67,200.00","$107,200.00","$148,000.00","$192,400.00","$222,000.00"
Cambi de Boton home 7G-8P/SE2/SE3,CAMBIO DE BOTON HOME ,,$0.00,$0.00,"$40,000.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de camara trasera 6G,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de Camara trasera 6P,CAMBIO DE CAMARA ,$6.00,"$9,000.00","$14,400.00","$54,400.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de Camara trasera 6S,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de Camara trasera 6SP,CAMBIO DE CAMARA ,$6.00,"$9,000.00","$14,400.00","$54,400.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de Camara trasera 7G,CAMBIO DE CAMARA ,$4.00,"$6,000.00","$9,600.00","$49,600.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de Camara trasera 7P,CAMBIO DE CAMARA ,$13.00,"$19,500.00","$31,200.00","$71,200.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de Camara trasera 8G,CAMBIO DE CAMARA ,$8.00,"$12,000.00","$19,200.00","$59,200.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de Camara trasera 8P,CAMBIO DE CAMARA ,$13.00,"$19,500.00","$31,200.00","$71,200.00","$95,500.00","$124,150.00","$143,250.00"
Cambio de Camara trasera X,CAMBIO DE CAMARA ,$9.00,"$13,500.00","$21,600.00","$61,600.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de Camara trasera XR,CAMBIO DE CAMARA ,$15.00,"$22,500.00","$36,000.00","$76,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de Camara trasera XS/XSM,CAMBIO DE CAMARA ,$23.00,"$34,500.00","$55,200.00","$95,200.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de Camara trasera 11,CAMBIO DE CAMARA ,$11.00,"$16,500.00","$26,400.00","$66,400.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de Camara trasera  11P/11PM,CAMBIO DE CAMARA ,$40.00,"$60,000.00","$96,000.00","$136,000.00","$195,000.00","$253,500.00","$292,500.00"
Cambio de Camara trasera SE2/SE3,CAMBIO DE CAMARA ,$9.00,"$13,500.00","$21,600.00","$61,600.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de Camara trasera  12M,CAMBIO DE CAMARA ,$42.00,"$63,000.00","$100,800.00","$140,800.00","$150,000.00","$195,000.00","$225,000.00"
Cambio de Camara trasera  12,CAMBIO DE CAMARA ,$25.00,"$37,500.00","$60,000.00","$100,000.00","$150,000.00","$195,000.00","$225,000.00"
Cambio de Camara trasera 12P,CAMBIO DE CAMARA ,$93.00,"$139,500.00","$223,200.00","$263,200.00","$265,000.00","$344,500.00","$397,500.00"
Cambio de Camara trasera  12PM,CAMBIO DE CAMARA ,$79.00,"$118,500.00","$189,600.00","$229,600.00","$265,000.00","$344,500.00","$397,500.00"
Cambio de Camara trasera 13M/13,CAMBIO DE CAMARA ,$14.00,"$21,000.00","$33,600.00","$73,600.00","$110,000.00","$143,000.00","$165,000.00"
Cambio de Camara trasera  13P/13PM,CAMBIO DE CAMARA ,$94.00,"$141,000.00","$225,600.00","$265,600.00","$270,500.00","$351,650.00","$405,750.00"
Cambio de Camara trasera  14,CAMBIO DE CAMARA ,$50.00,"$75,000.00","$120,000.00","$160,000.00","$165,000.00","$214,500.00","$247,500.00"
Cambio de Camara trasera  14PLUS,CAMBIO DE CAMARA ,$41.00,"$61,500.00","$98,400.00","$138,400.00","$165,000.00","$214,500.00","$247,500.00"
Cambio de Camara trasera  14P,CAMBIO DE CAMARA ,$70.00,"$105,000.00","$168,000.00","$208,000.00","$250,000.00","$325,000.00","$375,000.00"
Cambio de Camara trasera 14PM,CAMBIO DE CAMARA ,$70.00,"$105,000.00","$168,000.00","$208,000.00","$250,000.00","$325,000.00","$375,000.00"
Cambio de Camara trasera 15,CAMBIO DE CAMARA ,$34.00,"$51,000.00","$81,600.00","$121,600.00","$155,000.00","$201,500.00","$232,500.00"
Cambio de Camara trasera 15 plus,CAMBIO DE CAMARA ,$40.00,"$60,000.00","$96,000.00","$136,000.00","$155,000.00","$201,500.00","$232,500.00"
Cambio de Camara trasera 15 pro,CAMBIO DE CAMARA ,$57.00,"$85,500.00","$136,800.00","$176,800.00","$220,000.00","$286,000.00","$330,000.00"
Cambio de Camara trasera 15 pro max,CAMBIO DE CAMARA ,$69.00,"$103,500.00","$165,600.00","$205,600.00","$230,000.00","$299,000.00","$345,000.00"
Cambio de Camara trasera 16,CAMBIO DE CAMARA ,$66.00,"$99,000.00","$158,400.00","$198,400.00","$198,500.00","$258,050.00","$297,750.00"
Cambio de Camara trasera 16 plus,CAMBIO DE CAMARA ,$79.00,"$118,500.00","$189,600.00","$229,600.00","$245,000.00","$318,500.00","$367,500.00"
Cambio de Camara trasera 16 pro,CAMBIO DE CAMARA ,$69.00,"$103,500.00","$165,600.00","$205,600.00","$245,000.00","$318,500.00","$367,500.00"
Cambio de Camara trasera 16 pro max,CAMBIO DE CAMARA ,$77.00,"$115,500.00","$184,800.00","$224,800.00","$255,000.00","$331,500.00","$382,500.00"
Cambio de Camara frontal 6G,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$52,000.00","$67,600.00","$78,000.00"
Cambio de Camara frontal 6P,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$52,000.00","$67,600.00","$78,000.00"
Cambio de Camara frontal 6S,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$52,000.00","$67,600.00","$78,000.00"
Cambio de Camara frontal 6SP,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$52,000.00","$67,600.00","$78,000.00"
Cambio de Camara frontal 7G,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$52,000.00","$67,600.00","$78,000.00"
Cambio de Camara frontal 7P,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$52,000.00","$67,600.00","$78,000.00"
Cambio de Camara frontal 8G/SE2/SE3,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$52,000.00","$67,600.00","$78,000.00"
Cambio de Camara frontal 8P,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$52,000.00","$67,600.00","$78,000.00"
Cambio de Camara frontal X,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Camara frontal XR,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$58,500.00","$76,050.00","$87,750.00"
Cambio de Camara frontal XS,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$58,500.00","$76,050.00","$87,750.00"
Cambio de Camara frontal XSM,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$58,500.00","$76,050.00","$87,750.00"
Cambio de Camara frontal 11,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$75,000.00","$97,500.00","$112,500.00"
Cambio de Camara frontal 11P,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$75,000.00","$97,500.00","$112,500.00"
Cambio de Camara frontal 11PM,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$75,000.00","$97,500.00","$112,500.00"
Cambio de Camara frontal 12M,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$75,000.00","$97,500.00","$112,500.00"
Cambio de Camara frontal 12,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de Camara frontal 12 pro,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$85,500.00","$111,150.00","$128,250.00"
Cambio de Camara frontal 12 pro max,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$85,500.00","$111,150.00","$128,250.00"
Cambio de Camara frontal 13 mini,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$85,500.00","$111,150.00","$128,250.00"
Cambio de Camara frontal 13,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$89,500.00","$116,350.00","$134,250.00"
Cambio de Camara frontal 13 pro,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$110,000.00","$143,000.00","$165,000.00"
Cambio de Camara frontal 13 pro max,CAMBIO DE CAMARA ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$115,000.00","$149,500.00","$172,500.00"
Cambio de Camara frontal 14,CAMBIO DE CAMARA ,$22.00,"$33,000.00","$52,800.00","$92,800.00","$110,000.00","$143,000.00","$165,000.00"
Cambio de Camara frontal 14 plus,CAMBIO DE CAMARA ,$25.00,"$37,500.00","$60,000.00","$100,000.00","$130,000.00","$169,000.00","$195,000.00"
Cambio de Camara frontal 14 pro,CAMBIO DE CAMARA ,$24.00,"$36,000.00","$57,600.00","$97,600.00","$150,000.00","$195,000.00","$225,000.00"
Cambio de Camara frontal 14 pro max,CAMBIO DE CAMARA ,$24.00,"$36,000.00","$57,600.00","$97,600.00","$150,000.00","$195,000.00","$225,000.00"
Cambio de Camara frontal 15,CAMBIO DE CAMARA ,$23.00,"$34,500.00","$55,200.00","$95,200.00","$150,000.00","$195,000.00","$225,000.00"
Cambio de Camara frontal 15 plus,CAMBIO DE CAMARA ,$33.00,"$49,500.00","$79,200.00","$119,200.00","$150,000.00","$195,000.00","$225,000.00"
